Geo__geoid_,Geo_qname,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A14006_001,SE_A14008_001,SE_B10060_001,SE_B10060_002,SE_B10060_003,SE_B18002_001,SE_B18002_002,SE_B18002_003,SE_B10040_001,SE_B10040_002,SE_B10040_003,SE_A10038_001,SE_A10038_002,SE_A10038_003,SE_A10038_004,SE_A10038_005,SE_A10038_006,SE_A10038_007,SE_A10038_008,SE_A10038_009,SE_A10038_010,SE_A10038_011,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007
"08102","ZCTA5 08102","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US08102","ZCTA5 08102",,,,8090,8090,1325,1893,55,111,0,3589,1117,8090,2928,1040,1647,0,111,0,22,108,5162,285,246,55,0,0,3567,1009,2987,449,552,266,121,55,311,27,103,118,123,88,219,107,125,227,96,30895,54175.52728490124,778,80,698,2209,557,584,778,193,101,2209,517,184,94,217,549,465,158,7,0,18,7321,1287,746,1039,847,525,2877
"08103","ZCTA5 08103","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US08103","ZCTA5 08103",,,,13137,13137,1226,7793,41,166,0,2712,1199,13137,8432,594,7156,0,166,0,0,516,4705,632,637,41,0,0,2712,683,4420,535,663,342,63,218,292,175,267,98,426,432,424,155,85,217,28,37563,49075.81447963801,1474,25,1449,2946,441,1183,1474,431,167,2946,105,114,219,508,1248,343,120,65,0,224,11796,1843,990,718,2553,769,4923
"08104","ZCTA5 08104","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US08104","ZCTA5 08104",,,,21508,21508,1486,12574,101,287,93,4966,2001,21508,12967,492,11350,41,247,0,53,784,8541,994,1224,60,40,93,4913,1217,8421,992,723,460,790,581,548,223,427,575,762,381,721,599,248,96,295,36566,53120.175751098446,2752,254,2498,5669,1620,2091,2752,720,357,5669,231,316,563,1143,2501,581,113,0,115,106,21433,3357,1292,1726,3664,3319,8075
"08105","ZCTA5 08105","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US08105","ZCTA5 08105",,,,26681,26681,2203,6969,269,485,1,13896,2858,26681,7755,389,6495,0,485,1,106,279,18926,1814,474,269,0,0,13790,2579,8222,590,543,525,362,463,747,356,404,197,774,642,987,648,338,439,207,48319,62420.84650936512,3468,118,3350,4754,1239,1169,3468,1179,475,4754,351,290,177,420,2164,907,182,0,26,237,26676,2701,1377,2153,5081,3466,11898
"08106","ZCTA5 08106","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US08106","ZCTA5 08106",,,,9678,9678,8914,193,8,36,0,136,391,9678,9343,8778,187,0,36,0,22,320,335,136,6,8,0,0,114,71,3850,48,64,158,100,68,134,106,70,139,227,229,425,552,369,440,721,107539,121575.8961038961,2571,2421,150,1279,216,266,2571,368,169,1279,25,30,129,338,549,125,83,0,0,0,9643,139,32,144,589,453,8286
"08107","ZCTA5 08107","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US08107","ZCTA5 08107",,,,13699,13699,8072,2588,57,298,0,1171,1513,13699,11251,7619,2559,8,298,0,119,648,2448,453,29,49,0,0,1052,865,5748,284,194,101,347,216,235,206,180,210,511,499,627,464,504,571,599,70262,102486.89979123171,3010,2426,584,2738,766,764,3010,808,308,2738,0,71,50,340,1160,841,200,8,32,36,13629,474,244,632,1037,1216,10026
"08108","ZCTA5 08108","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US08108","ZCTA5 08108",,,,18730,18730,16413,469,0,407,0,235,1206,18730,17642,16088,436,0,407,0,22,689,1088,325,33,0,0,0,213,517,8663,496,179,282,277,130,158,168,169,166,343,672,1002,821,983,1338,1479,107764,129451.44868983031,5537,5215,322,3126,623,585,5537,1380,747,3126,72,93,29,61,904,1124,687,105,51,0,18653,575,279,692,314,605,16188
"08109","ZCTA5 08109","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US08109","ZCTA5 08109",,,,24004,24004,10473,4544,12,2169,11,4217,2578,24004,16680,9268,4345,0,2166,11,316,574,7324,1205,199,12,3,0,3901,2004,8816,391,166,423,297,221,263,398,231,203,621,722,1112,737,992,1165,874,84332,106010.76451905626,6381,3327,3054,2435,631,833,6381,1710,565,2435,92,163,360,284,876,348,200,33,15,64,23802,1571,889,1188,1207,1431,17516
"08110","ZCTA5 08110","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US08110","ZCTA5 08110",,,,18955,18955,3601,6560,430,1304,1,4503,2556,18955,10209,2564,5750,0,1266,1,135,493,8746,1037,810,430,38,0,4368,2063,6290,476,216,191,386,152,180,155,224,220,323,374,1207,920,329,522,415,81307,91200.8426073132,4601,979,3622,1689,365,369,4601,1194,696,1689,49,30,74,145,814,402,102,0,0,73,18808,1257,311,1485,1216,1886,12653
